rel,way,tags,region
58843,29051853,"{'admin_level': '9', 'alt_name:la': 'Contiacum', 'boundary': 'administrative', 'name': 'Kontich', 'name:la': 'Condacum', 'name:nl': 'Kontich', 'ref:INS': '11024A', 'type': 'boundary'}",Kontich
58843,29025704,"{'admin_level': '9', 'alt_name:la': 'Contiacum', 'boundary': 'administrative', 'name': 'Kontich', 'name:la': 'Condacum', 'name:nl': 'Kontich', 'ref:INS': '11024A', 'type': 'boundary'}",Kontich
58843,735472180,"{'admin_level': '9', 'alt_name:la': 'Contiacum', 'boundary': 'administrative', 'name': 'Kontich', 'name:la': 'Condacum', 'name:nl': 'Kontich', 'ref:INS': '11024A', 'type': 'boundary'}",Kontich
58843,29033336,"{'admin_level': '9', 'alt_name:la': 'Contiacum', 'boundary': 'administrative', 'name': 'Kontich', 'name:la': 'Condacum', 'name:nl': 'Kontich', 'ref:INS': '11024A', 'type': 'boundary'}",Kontich
58843,947742003,"{'admin_level': '9', 'alt_name:la': 'Contiacum', 'boundary': 'administrative', 'name': 'Kontich', 'name:la': 'Condacum', 'name:nl': 'Kontich', 'ref:INS': '11024A', 'type': 'boundary'}",Kontich
58843,947742001,"{'admin_level': '9', 'alt_name:la': 'Contiacum', 'boundary': 'administrative', 'name': 'Kontich', 'name:la': 'Condacum', 'name:nl': 'Kontich', 'ref:INS': '11024A', 'type': 'boundary'}",Kontich
58843,29033313,"{'admin_level': '9', 'alt_name:la': 'Contiacum', 'boundary': 'administrative', 'name': 'Kontich', 'name:la': 'Condacum', 'name:nl': 'Kontich', 'ref:INS': '11024A', 'type': 'boundary'}",Kontich
58843,29053123,"{'admin_level': '9', 'alt_name:la': 'Contiacum', 'boundary': 'administrative', 'name': 'Kontich', 'name:la': 'Condacum', 'name:nl': 'Kontich', 'ref:INS': '11024A', 'type': 'boundary'}",Kontich
58843,29051871,"{'admin_level': '9', 'alt_name:la': 'Contiacum', 'boundary': 'administrative', 'name': 'Kontich', 'name:la': 'Condacum', 'name:nl': 'Kontich', 'ref:INS': '11024A', 'type': 'boundary'}",Kontich
58847,29034076,"{'admin_level': '9', 'boundary': 'administrative', 'name': 'Waarloos', 'old_ref:INS': '11048', 'ref:INS': '11024B', 'type': 'boundary', 'wikidata': 'Q2085685', 'wikipedia': 'nl:Waarloos'}",Waarloos
