rel,way,tags,region
226927,206543634,"{'addr:country': 'RU', 'addr:region': 'Москва', 'admin_level': '8', 'alt_name': 'муниципальный округ Кунцево', 'boundary': 'administrative', 'description': 'район — административно-территориальная единица; муниципальный округ — тип муниципального образования (с 1 июля 2012)', 'name': 'район Кунцево', 'name:en': 'Kuntsevo District', 'name:ru': 'район Кунцево', 'official_status': 'ru:внутригородская территория города федерального значения', 'type': 'boundary', 'wikidata': 'Q155102', 'wikipedia': 'ru:Кунцево (район Москвы)'}",район Кунцево
226927,206543632,"{'addr:country': 'RU', 'addr:region': 'Москва', 'admin_level': '8', 'alt_name': 'муниципальный округ Кунцево', 'boundary': 'administrative', 'description': 'район — административно-территориальная единица; муниципальный округ — тип муниципального образования (с 1 июля 2012)', 'name': 'район Кунцево', 'name:en': 'Kuntsevo District', 'name:ru': 'район Кунцево', 'official_status': 'ru:внутригородская территория города федерального значения', 'type': 'boundary', 'wikidata': 'Q155102', 'wikipedia': 'ru:Кунцево (район Москвы)'}",район Кунцево
226927,206530336,"{'addr:country': 'RU', 'addr:region': 'Москва', 'admin_level': '8', 'alt_name': 'муниципальный округ Кунцево', 'boundary': 'administrative', 'description': 'район — административно-территориальная единица; муниципальный округ — тип муниципального образования (с 1 июля 2012)', 'name': 'район Кунцево', 'name:en': 'Kuntsevo District', 'name:ru': 'район Кунцево', 'official_status': 'ru:внутригородская территория города федерального значения', 'type': 'boundary', 'wikidata': 'Q155102', 'wikipedia': 'ru:Кунцево (район Москвы)'}",район Кунцево
226927,206530309,"{'addr:country': 'RU', 'addr:region': 'Москва', 'admin_level': '8', 'alt_name': 'муниципальный округ Кунцево', 'boundary': 'administrative', 'description': 'район — административно-территориальная единица; муниципальный округ — тип муниципального образования (с 1 июля 2012)', 'name': 'район Кунцево', 'name:en': 'Kuntsevo District', 'name:ru': 'район Кунцево', 'official_status': 'ru:внутригородская территория города федерального значения', 'type': 'boundary', 'wikidata': 'Q155102', 'wikipedia': 'ru:Кунцево (район Москвы)'}",район Кунцево
226927,206530305,"{'addr:country': 'RU', 'addr:region': 'Москва', 'admin_level': '8', 'alt_name': 'муниципальный округ Кунцево', 'boundary': 'administrative', 'description': 'район — административно-территориальная единица; муниципальный округ — тип муниципального образования (с 1 июля 2012)', 'name': 'район Кунцево', 'name:en': 'Kuntsevo District', 'name:ru': 'район Кунцево', 'official_status': 'ru:внутригородская территория города федерального значения', 'type': 'boundary', 'wikidata': 'Q155102', 'wikipedia': 'ru:Кунцево (район Москвы)'}",район Кунцево
226927,189387464,"{'addr:country': 'RU', 'addr:region': 'Москва', 'admin_level': '8', 'alt_name': 'муниципальный округ Кунцево', 'boundary': 'administrative', 'description': 'район — административно-территориальная единица; муниципальный округ — тип муниципального образования (с 1 июля 2012)', 'name': 'район Кунцево', 'name:en': 'Kuntsevo District', 'name:ru': 'район Кунцево', 'official_status': 'ru:внутригородская территория города федерального значения', 'type': 'boundary', 'wikidata': 'Q155102', 'wikipedia': 'ru:Кунцево (район Москвы)'}",район Кунцево
226927,206521448,"{'addr:country': 'RU', 'addr:region': 'Москва', 'admin_level': '8', 'alt_name': 'муниципальный округ Кунцево', 'boundary': 'administrative', 'description': 'район — административно-территориальная единица; муниципальный округ — тип муниципального образования (с 1 июля 2012)', 'name': 'район Кунцево', 'name:en': 'Kuntsevo District', 'name:ru': 'район Кунцево', 'official_status': 'ru:внутригородская территория города федерального значения', 'type': 'boundary', 'wikidata': 'Q155102', 'wikipedia': 'ru:Кунцево (район Москвы)'}",район Кунцево
226927,206521446,"{'addr:country': 'RU', 'addr:region': 'Москва', 'admin_level': '8', 'alt_name': 'муниципальный округ Кунцево', 'boundary': 'administrative', 'description': 'район — административно-территориальная единица; муниципальный округ — тип муниципального образования (с 1 июля 2012)', 'name': 'район Кунцево', 'name:en': 'Kuntsevo District', 'name:ru': 'район Кунцево', 'official_status': 'ru:внутригородская территория города федерального значения', 'type': 'boundary', 'wikidata': 'Q155102', 'wikipedia': 'ru:Кунцево (район Москвы)'}",район Кунцево
226927,176510757,"{'addr:country': 'RU', 'addr:region': 'Москва', 'admin_level': '8', 'alt_name': 'муниципальный округ Кунцево', 'boundary': 'administrative', 'description': 'район — административно-территориальная единица; муниципальный округ — тип муниципального образования (с 1 июля 2012)', 'name': 'район Кунцево', 'name:en': 'Kuntsevo District', 'name:ru': 'район Кунцево', 'official_status': 'ru:внутригородская территория города федерального значения', 'type': 'boundary', 'wikidata': 'Q155102', 'wikipedia': 'ru:Кунцево (район Москвы)'}",район Кунцево
226927,138406681,"{'addr:country': 'RU', 'addr:region': 'Москва', 'admin_level': '8', 'alt_name': 'муниципальный округ Кунцево', 'boundary': 'administrative', 'description': 'район — административно-территориальная единица; муниципальный округ — тип муниципального образования (с 1 июля 2012)', 'name': 'район Кунцево', 'name:en': 'Kuntsevo District', 'name:ru': 'район Кунцево', 'official_status': 'ru:внутригородская территория города федерального значения', 'type': 'boundary', 'wikidata': 'Q155102', 'wikipedia': 'ru:Кунцево (район Москвы)'}",район Кунцево
