rel,way,tags,region
47619,35213254,"{'admin_level': '8', 'authoritative': 'yes', 'boundary': 'administrative', 'name': 'Terneuzen', 'name:nl': 'Terneuzen', 'name:ru': 'Тернёзен', 'name:vls': 'Terneuzn', 'population': '54426', 'population:date': '2020-01-01', 'ref:gemeentecode': '715', 'source:population': 'CBS', 'type': 'boundary', 'wikidata': 'Q10081', 'wikipedia': 'nl:Terneuzen (gemeente)'}",Terneuzen
47619,90789618,"{'admin_level': '8', 'authoritative': 'yes', 'boundary': 'administrative', 'name': 'Terneuzen', 'name:nl': 'Terneuzen', 'name:ru': 'Тернёзен', 'name:vls': 'Terneuzn', 'population': '54426', 'population:date': '2020-01-01', 'ref:gemeentecode': '715', 'source:population': 'CBS', 'type': 'boundary', 'wikidata': 'Q10081', 'wikipedia': 'nl:Terneuzen (gemeente)'}",Terneuzen
47619,35213239,"{'admin_level': '8', 'authoritative': 'yes', 'boundary': 'administrative', 'name': 'Terneuzen', 'name:nl': 'Terneuzen', 'name:ru': 'Тернёзен', 'name:vls': 'Terneuzn', 'population': '54426', 'population:date': '2020-01-01', 'ref:gemeentecode': '715', 'source:population': 'CBS', 'type': 'boundary', 'wikidata': 'Q10081', 'wikipedia': 'nl:Terneuzen (gemeente)'}",Terneuzen
47619,35213220,"{'admin_level': '8', 'authoritative': 'yes', 'boundary': 'administrative', 'name': 'Terneuzen', 'name:nl': 'Terneuzen', 'name:ru': 'Тернёзен', 'name:vls': 'Terneuzn', 'population': '54426', 'population:date': '2020-01-01', 'ref:gemeentecode': '715', 'source:population': 'CBS', 'type': 'boundary', 'wikidata': 'Q10081', 'wikipedia': 'nl:Terneuzen (gemeente)'}",Terneuzen
47619,87802289,"{'admin_level': '8', 'authoritative': 'yes', 'boundary': 'administrative', 'name': 'Terneuzen', 'name:nl': 'Terneuzen', 'name:ru': 'Тернёзен', 'name:vls': 'Terneuzn', 'population': '54426', 'population:date': '2020-01-01', 'ref:gemeentecode': '715', 'source:population': 'CBS', 'type': 'boundary', 'wikidata': 'Q10081', 'wikipedia': 'nl:Terneuzen (gemeente)'}",Terneuzen
47619,35213241,"{'admin_level': '8', 'authoritative': 'yes', 'boundary': 'administrative', 'name': 'Terneuzen', 'name:nl': 'Terneuzen', 'name:ru': 'Тернёзен', 'name:vls': 'Terneuzn', 'population': '54426', 'population:date': '2020-01-01', 'ref:gemeentecode': '715', 'source:population': 'CBS', 'type': 'boundary', 'wikidata': 'Q10081', 'wikipedia': 'nl:Terneuzen (gemeente)'}",Terneuzen
47619,87808797,"{'admin_level': '8', 'authoritative': 'yes', 'boundary': 'administrative', 'name': 'Terneuzen', 'name:nl': 'Terneuzen', 'name:ru': 'Тернёзен', 'name:vls': 'Terneuzn', 'population': '54426', 'population:date': '2020-01-01', 'ref:gemeentecode': '715', 'source:population': 'CBS', 'type': 'boundary', 'wikidata': 'Q10081', 'wikipedia': 'nl:Terneuzen (gemeente)'}",Terneuzen
47619,252433310,"{'admin_level': '8', 'authoritative': 'yes', 'boundary': 'administrative', 'name': 'Terneuzen', 'name:nl': 'Terneuzen', 'name:ru': 'Тернёзен', 'name:vls': 'Terneuzn', 'population': '54426', 'population:date': '2020-01-01', 'ref:gemeentecode': '715', 'source:population': 'CBS', 'type': 'boundary', 'wikidata': 'Q10081', 'wikipedia': 'nl:Terneuzen (gemeente)'}",Terneuzen
47619,35213240,"{'admin_level': '8', 'authoritative': 'yes', 'boundary': 'administrative', 'name': 'Terneuzen', 'name:nl': 'Terneuzen', 'name:ru': 'Тернёзен', 'name:vls': 'Terneuzn', 'population': '54426', 'population:date': '2020-01-01', 'ref:gemeentecode': '715', 'source:population': 'CBS', 'type': 'boundary', 'wikidata': 'Q10081', 'wikipedia': 'nl:Terneuzen (gemeente)'}",Terneuzen
47619,35213264,"{'admin_level': '8', 'authoritative': 'yes', 'boundary': 'administrative', 'name': 'Terneuzen', 'name:nl': 'Terneuzen', 'name:ru': 'Тернёзен', 'name:vls': 'Terneuzn', 'population': '54426', 'population:date': '2020-01-01', 'ref:gemeentecode': '715', 'source:population': 'CBS', 'type': 'boundary', 'wikidata': 'Q10081', 'wikipedia': 'nl:Terneuzen (gemeente)'}",Terneuzen
47619,202164130,"{'admin_level': '8', 'authoritative': 'yes', 'boundary': 'administrative', 'name': 'Terneuzen', 'name:nl': 'Terneuzen', 'name:ru': 'Тернёзен', 'name:vls': 'Terneuzn', 'population': '54426', 'population:date': '2020-01-01', 'ref:gemeentecode': '715', 'source:population': 'CBS', 'type': 'boundary', 'wikidata': 'Q10081', 'wikipedia': 'nl:Terneuzen (gemeente)'}",Terneuzen
47619,35213216,"{'admin_level': '8', 'authoritative': 'yes', 'boundary': 'administrative', 'name': 'Terneuzen', 'name:nl': 'Terneuzen', 'name:ru': 'Тернёзен', 'name:vls': 'Terneuzn', 'population': '54426', 'population:date': '2020-01-01', 'ref:gemeentecode': '715', 'source:population': 'CBS', 'type': 'boundary', 'wikidata': 'Q10081', 'wikipedia': 'nl:Terneuzen (gemeente)'}",Terneuzen
47619,202164196,"{'admin_level': '8', 'authoritative': 'yes', 'boundary': 'administrative', 'name': 'Terneuzen', 'name:nl': 'Terneuzen', 'name:ru': 'Тернёзен', 'name:vls': 'Terneuzn', 'population': '54426', 'population:date': '2020-01-01', 'ref:gemeentecode': '715', 'source:population': 'CBS', 'type': 'boundary', 'wikidata': 'Q10081', 'wikipedia': 'nl:Terneuzen (gemeente)'}",Terneuzen
47619,35213219,"{'admin_level': '8', 'authoritative': 'yes', 'boundary': 'administrative', 'name': 'Terneuzen', 'name:nl': 'Terneuzen', 'name:ru': 'Тернёзен', 'name:vls': 'Terneuzn', 'population': '54426', 'population:date': '2020-01-01', 'ref:gemeentecode': '715', 'source:population': 'CBS', 'type': 'boundary', 'wikidata': 'Q10081', 'wikipedia': 'nl:Terneuzen (gemeente)'}",Terneuzen
47619,36612922,"{'admin_level': '8', 'authoritative': 'yes', 'boundary': 'administrative', 'name': 'Terneuzen', 'name:nl': 'Terneuzen', 'name:ru': 'Тернёзен', 'name:vls': 'Terneuzn', 'population': '54426', 'population:date': '2020-01-01', 'ref:gemeentecode': '715', 'source:population': 'CBS', 'type': 'boundary', 'wikidata': 'Q10081', 'wikipedia': 'nl:Terneuzen (gemeente)'}",Terneuzen
47619,35213307,"{'admin_level': '8', 'authoritative': 'yes', 'boundary': 'administrative', 'name': 'Terneuzen', 'name:nl': 'Terneuzen', 'name:ru': 'Тернёзен', 'name:vls': 'Terneuzn', 'population': '54426', 'population:date': '2020-01-01', 'ref:gemeentecode': '715', 'source:population': 'CBS', 'type': 'boundary', 'wikidata': 'Q10081', 'wikipedia': 'nl:Terneuzen (gemeente)'}",Terneuzen
47619,202348203,"{'admin_level': '8', 'authoritative': 'yes', 'boundary': 'administrative', 'name': 'Terneuzen', 'name:nl': 'Terneuzen', 'name:ru': 'Тернёзен', 'name:vls': 'Terneuzn', 'population': '54426', 'population:date': '2020-01-01', 'ref:gemeentecode': '715', 'source:population': 'CBS', 'type': 'boundary', 'wikidata': 'Q10081', 'wikipedia': 'nl:Terneuzen (gemeente)'}",Terneuzen
47619,202348238,"{'admin_level': '8', 'authoritative': 'yes', 'boundary': 'administrative', 'name': 'Terneuzen', 'name:nl': 'Terneuzen', 'name:ru': 'Тернёзен', 'name:vls': 'Terneuzn', 'population': '54426', 'population:date': '2020-01-01', 'ref:gemeentecode': '715', 'source:population': 'CBS', 'type': 'boundary', 'wikidata': 'Q10081', 'wikipedia': 'nl:Terneuzen (gemeente)'}",Terneuzen
47619,202348214,"{'admin_level': '8', 'authoritative': 'yes', 'boundary': 'administrative', 'name': 'Terneuzen', 'name:nl': 'Terneuzen', 'name:ru': 'Тернёзен', 'name:vls': 'Terneuzn', 'population': '54426', 'population:date': '2020-01-01', 'ref:gemeentecode': '715', 'source:population': 'CBS', 'type': 'boundary', 'wikidata': 'Q10081', 'wikipedia': 'nl:Terneuzen (gemeente)'}",Terneuzen
47619,202348213,"{'admin_level': '8', 'authoritative': 'yes', 'boundary': 'administrative', 'name': 'Terneuzen', 'name:nl': 'Terneuzen', 'name:ru': 'Тернёзен', 'name:vls': 'Terneuzn', 'population': '54426', 'population:date': '2020-01-01', 'ref:gemeentecode': '715', 'source:population': 'CBS', 'type': 'boundary', 'wikidata': 'Q10081', 'wikipedia': 'nl:Terneuzen (gemeente)'}",Terneuzen
47619,35213302,"{'admin_level': '8', 'authoritative': 'yes', 'boundary': 'administrative', 'name': 'Terneuzen', 'name:nl': 'Terneuzen', 'name:ru': 'Тернёзен', 'name:vls': 'Terneuzn', 'population': '54426', 'population:date': '2020-01-01', 'ref:gemeentecode': '715', 'source:population': 'CBS', 'type': 'boundary', 'wikidata': 'Q10081', 'wikipedia': 'nl:Terneuzen (gemeente)'}",Terneuzen
47619,35213250,"{'admin_level': '8', 'authoritative': 'yes', 'boundary': 'administrative', 'name': 'Terneuzen', 'name:nl': 'Terneuzen', 'name:ru': 'Тернёзен', 'name:vls': 'Terneuzn', 'population': '54426', 'population:date': '2020-01-01', 'ref:gemeentecode': '715', 'source:population': 'CBS', 'type': 'boundary', 'wikidata': 'Q10081', 'wikipedia': 'nl:Terneuzen (gemeente)'}",Terneuzen
47619,202211957,"{'admin_level': '8', 'authoritative': 'yes', 'boundary': 'administrative', 'name': 'Terneuzen', 'name:nl': 'Terneuzen', 'name:ru': 'Тернёзен', 'name:vls': 'Terneuzn', 'population': '54426', 'population:date': '2020-01-01', 'ref:gemeentecode': '715', 'source:population': 'CBS', 'type': 'boundary', 'wikidata': 'Q10081', 'wikipedia': 'nl:Terneuzen (gemeente)'}",Terneuzen
